epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.003,2.60813,4.0685,15.1404,2.16746,0.04762,0.00265,0.02425,0.00243,0.44512,0.02041,0.01037,0.00104,1.98231,3.70865,22.3411,1.9686,0.000273039,0.000273039,0.000273039
2,781.615,2.46347,3.30102,11.3976,2.05277,0.61494,0.02857,0.03516,0.01045,0.61494,0.02857,0.0312,0.00323,2.06859,3.73671,7.77554,2.05791,0.000496186,0.000496186,0.000496186
3,1278.44,2.43317,3.39789,10.0011,2.13215,0.30662,0.01323,0.01014,0.00357,0.28987,0.00265,0.00027,3e-05,2.74793,4.17336,13.6796,2.42933,0.000664355,0.000664355,0.000664355
4,1764.8,2.59547,3.01254,11.2996,2.01147,0.30342,0.02646,0.02193,0.00714,0.28776,0.00265,0.00034,9e-05,2.75985,4.11792,60.7793,2.92894,0.000585599,0.000585599,0.000585599
5,2272.17,2.49572,2.93905,10.6264,1.95628,0.01097,0.11829,0.01973,0.00803,0.14609,0.00529,0.00088,0.00034,2.72462,3.9228,46.4381,3.12318,0.000503132,0.000503132,0.000503132
6,2768.73,2.65411,2.95409,9.0243,2.06198,0.59292,0.16667,0.02173,0.00957,0.57441,0.00265,0.00056,0.00019,2.60284,3.65803,6.21699,2.53536,0.000420665,0.000420665,0.000420665
7,3228.11,2.62767,3.11278,7.75059,2.13595,0.30219,0.01587,0.01271,0.00609,0.29339,0.00529,0.00082,0.00024,2.60051,3.86459,6.20848,2.49776,0.000338198,0.000338198,0.000338198
8,3574.65,2.56679,2.8431,7.21396,2.04639,0.30219,0.01587,0.01271,0.00609,0.29339,0.00529,0.00082,0.00024,2.60051,3.86459,6.20848,2.49776,0.000255731,0.000255731,0.000255731
9,3917.34,2.5586,2.97079,6.85677,2.03986,0.31135,0.01323,0.00796,0.00272,0.29083,0.00265,0.00068,0.00021,2.54366,3.66339,5.42878,2.07832,0.000173264,0.000173264,0.000173264
10,4263.64,2.24771,2.7808,6.10259,1.92057,0.30118,0.01587,0.00778,0.00259,0.28811,0.00265,0.00038,0.00017,2.53542,3.45876,5.15792,2.04117,9.0797e-05,9.0797e-05,9.0797e-05
